dealer,review_text,source,clean_review,word_count,tb_polarity,vader_compound,sentiment
Ed Martin Toyota,"I did know the vehicle I was interested in, and the team made the experience enjoyable.  I appreciated Jay Bechara sharing his expertise with the Land Cruiser, and ensuring I was set up for success.  He walked me through all the options as we closed the deal.  I will definitely refer friends and family based on the experience.",DealerRater,"i did know the vehicle i was interested in, and the team made the experience enjoyable. i appreciated jay bechara sharing his expertise with the land cruiser, and ensuring i was set up for success. he walked me through all the options as we closed the deal. i will definitely refer friends and family based on the experience.",58,0.19166666666666665,0.9694,Positive
Ed Martin Toyota,"communicative, well versed in technical details, accommodating, and follow through was precise and timely.",DealerRater,"communicative, well versed in technical details, accommodating, and follow through was precise and timely.",14,0.2,0.2732,Positive
Ed Martin Toyota,"during his portion of the process. He was easy to talk to, didn't try and hide anything or make things complicated, and indeed was a big help in keeping me feeling good and like I understood what was happening despite it being my first time at a dealership and my first time buying a car! Thank you Ed!",DealerRater,"during his portion of the process. he was easy to talk to, didn't try and hide anything or make things complicated, and indeed was a big help in keeping me feeling good and like i understood what was happening despite it being my first time at a dealership and my first time buying a car! thank you ed!",58,0.21232638888888888,0.9337,Positive
Ed Martin Toyota,"Katrina did a wonderful job matching a vehicle with our needs. Again, wonderful experience all the way atound!",DealerRater,"katrina did a wonderful job matching a vehicle with our needs. again, wonderful experience all the way atound!",18,1.0,0.8268,Positive
Ed Martin Toyota,We wanted to buy it on memorial day. The other Toyota dealers were closed. I called Ed Martin and spoke to Michael Ball. We made an appointment. Michael is very friendly and not pushy about selling anything. We ended up buying a Toyota rav4 hybrid xle. The whole experience was handled well by Michael the team. We needed a second car and called Michael and he helped us find the right car at a reasonable price. I appreciate Ed Martin and Michael Ball for helping us with an awesome experience. I would recommend Michael Ball for any vehicle you would need. Top notch service and great price!,DealerRater,we wanted to buy it on memorial day. the other toyota dealers were closed. i called ed martin and spoke to michael ball. we made an appointment. michael is very friendly and not pushy about selling anything. we ended up buying a toyota rav4 hybrid xle. the whole experience was handled well by michael the team. we needed a second car and called michael and he helped us find the right car at a reasonable price. i appreciate ed martin and michael ball for helping us with an awesome experience. i would recommend michael ball for any vehicle you would need. top notch service and great price!,107,0.34482142857142856,0.9723,Positive
Ed Martin Toyota,John good pastor was a great help in getting me out of my old ride and into a new one at a fair rate.,DealerRater,john good pastor was a great help in getting me out of my old ride and into a new one at a fair rate.,24,0.4872727272727273,0.9001,Positive
Ed Martin Toyota,Martin Toyota.  Specifically Michael Ball took great care of my wife and I while looking for the vehicle and Bryan with the Finance department was great as well. Highly recommend this dealership!,DealerRater,martin toyota. specifically michael ball took great care of my wife and i while looking for the vehicle and bryan with the finance department was great as well. highly recommend this dealership!,32,0.6,0.9484,Positive
Ed Martin Toyota,"car. He was excellent to work with. The finance person made it a breeze and explained everything well. 
Thanks Erick ( dealer manager ) for the great team",DealerRater,car. he was excellent to work with. the finance person made it a breeze and explained everything well. thanks erick ( dealer manager ) for the great team,28,0.6666666666666666,0.9153,Positive
Ed Martin Toyota,I will be sure to buy my next vehicle from him!,DealerRater,i will be sure to buy my next vehicle from him!,11,0.25,0.3802,Positive
Ed Martin Toyota,Nice showroom and lot. Fast service when purchasing a new vehicle,DealerRater,nice showroom and lot. fast service when purchasing a new vehicle,11,0.31212121212121213,0.4215,Positive
Ed Martin Toyota,"He is awesome ! He helped me with New Car ! He is knowledgeable gave me great advice and deals! I will recommend Michael from ED Martin Toyota Noblesville,IN",DealerRater,"he is awesome ! he helped me with new car ! he is knowledgeable gave me great advice and deals! i will recommend michael from ed martin toyota noblesville,in",29,0.7234848484848485,0.9114,Positive
Ed Martin Toyota,with. Thank you again Tom!,DealerRater,with. thank you again tom!,5,0.0,0.4199,Positive
Ed Martin Toyota,website. I emailed them and Evan reached out to me 5 minutes later. One day later Evan got me in my new Encore! Very pleased with the service I received.,DealerRater,website. i emailed them and evan reached out to me 5 minutes later. one day later evan got me in my new encore! very pleased with the service i received.,30,0.20511363636363636,0.5974,Positive
Ed Martin Toyota,"My salesperson, Thankful, fit us in same day on a very busy Saturday last minute and got me exactly what i was looking for in my budget.",DealerRater,"my salesperson, thankful, fit us in same day on a very busy saturday last minute and got me exactly what i was looking for in my budget.",27,0.156,0.7351,Positive
Ed Martin Toyota,find what I was looking for.,DealerRater,find what i was looking for.,6,0.0,0.0,Neutral
Ed Martin Toyota,experience a pleasure. The negotiations were fair & we left feeling like he made a good deal on his first car.,DealerRater,experience a pleasure. the negotiations were fair & we left feeling like he made a good deal on his first car.,21,0.4125,0.8979,Positive
